tweet_id,favorite_count,retweet_count
771908950375665664,6912,2036
771770456517009408,12618,3640
771500966810099713,8697,2816
771380798096281600,11040,5461
771171053431250945,0,8108
771136648247640064,9643,3141
771102124360998913,6571,1545
771014301343748096,7210,1769
771004394259247104,0,234
770787852854652928,5201,1299
770772759874076672,5458,1512
770655142660169732,7706,1869
770414278348247044,6609,2218
770293558247038976,6549,1599
770093767776997377,0,3259
770069151037685760,7950,2457
769940425801170949,33005,10329
769695466921623552,6710,1770
769335591808995329,0,8236
769212283578875904,5682,1835
768970937022709760,15141,7008
768909767477751808,0,2880
768855141948723200,4409,954
768609597686943744,4327,1293
768596291618299904,5273,1368
768554158521745409,0,6240
768473857036525572,14306,3666
768193404517830656,11453,3799
767884188863397888,4986,1499
767754930266464257,16834,5752
767500508068192258,7854,2499
767191397493538821,12882,4069
767122157629476866,10630,3047
766864461642756096,0,6034
766793450729734144,5333,1453
766714921925144576,2731,413
766693177336135680,4230,846
766423258543644672,6319,1706
766313316352462849,7126,2018
766078092750233600,0,2780
766069199026450432,4472,915
766008592277377025,3931,528
765719909049503744,7601,2294
765669560888528897,5460,1301
765395769549590528,27761,3632
765371061932261376,7443,2311
765222098633691136,12186,3617
764857477905154048,6753,1898
764259802650378240,6342,1620
763956972077010945,782,58
763837565564780549,13224,4457
763183847194451968,5663,1572
763167063695355904,0,3224
763103485927849985,7712,2446
762699858130116608,12760,3873
762471784394268675,11814,6910
762464539388485633,10800,4476
762316489655476224,5048,1201
762035686371364864,33491,16696
761976711479193600,5665,2160
761750502866649088,0,4200
761745352076779520,4460,921
761672994376806400,51941,31033
761599872357261312,4332,1257
761371037149827077,0,19203
761334018830917632,5452,1548
761292947749015552,4678,1171
761227390836215808,5570,1662
761004547850530816,11859,3708
760893934457552897,4001,1037
760656994973933572,6929,2054
760641137271070720,5201,1378
760539183865880579,7934,3885
760521673607086080,4427,1492
760290219849637889,28082,12265
760252756032651264,4122,925
760190180481531904,5969,1934
760153949710192640,0,33
759943073749200896,6217,2230
759923798737051648,15357,6034
759846353224826880,7027,2117
759793422261743616,6244,2028
759566828574212096,0,22561
759557299618865152,4917,1252
759447681597108224,8886,2600
759446261539934208,1750,517
759197388317847553,6342,2076
759159934323924993,0,1236
759099523532779520,15204,4448
759047813560868866,6814,2159
758854675097526272,3721,955
758828659922702336,11690,4081
758740312047005698,5994,1716
758474966123810816,4005,1058
758467244762497024,5021,2370
758405701903519748,5440,2056
758355060040593408,3584,1157
758099635764359168,20075,10738
758041019896193024,2832,399
757741869644341248,7211,3466
757729163776290825,0,8650
757725642876129280,4742,1295
757611664640446465,4787,1189
757597904299253760,0,312
757596066325864448,4538,1127
757400162377592832,15828,7300
757393109802180609,6096,1862
757354760399941633,4724,1519
756998049151549440,6565,2122
756939218950160384,6955,2143
756651752796094464,5298,1393
756526248105566208,10869,3850
756303284449767430,4123,1158
756288534030475264,44819,18593
756275833623502848,6710,1618
755955933503782912,7666,3083
755206590534418437,17200,5745
755110668769038337,22192,11817
754874841593970688,0,8529
754856583969079297,7182,2689
754747087846248448,2696,553
754482103782404096,5539,2080
754449512966619136,3915,778
754120377874386944,8197,2484
753655901052166144,6113,2316
753420520834629632,8292,3803
753398408988139520,6030,2046
753375668877008896,7978,2479
753298634498793472,0,6128
753294487569522689,3545,1114
753039830821511168,38812,22296
753026973505581056,4077,1041
752932432744185856,13198,7293
752917284578922496,7207,1675
752701944171524096,0,3080
752682090207055872,6247,1711
752660715232722944,4604,1672
752568224206688256,5765,2427
752519690950500352,7698,3677
752334515931054080,3986,1175
752309394570878976,0,17797
752173152931807232,6217,1958
751950017322246144,3213,990
751937170840121344,5439,1435
751830394383790080,6053,2077
751793661361422336,6111,3094
751598357617971201,8244,3238
751583847268179968,4591,1180
751538714308972544,5258,1348
751456908746354688,3352,1068
751251247299190784,13036,6248
751205363882532864,6579,1953
751132876104687617,5291,1383
750868782890057730,4989,1472
750719632563142656,13778,5360
750506206503038976,4638,1216
750429297815552001,13743,4571
750383411068534784,4752,1212
750381685133418496,723,30
750147208377409536,3243,1021
750132105863102464,3797,1361
750117059602808832,4517,1379
750101899009982464,3171,897
750086836815486976,2269,573
750071704093859840,8205,3555
750056684286914561,3282,952
750041628174217216,3313,657
750026558547456000,2825,837
750011400160841729,3393,966
749996283729883136,3175,859
749981277374128128,5326,2606
749774190421639168,4861,1393
749417653287129088,6361,1764
749403093750648834,2742,577
749395845976588288,8960,3680
749317047558017024,5717,2351
749075273010798592,5996,2197
749064354620928000,4992,1610
749036806121881602,3237,830
748977405889503236,11181,3612
748932637671223296,6087,2401
748705597323898880,2878,1003
748699167502000129,4927,1692
748692773788876800,4415,1409
748575535303884801,6315,2098
748568946752774144,2280,710
748346686624440324,5435,1312
